Topic,Difficulty,QuestionType,Question,OptionA,OptionB,OptionC,OptionD,MatchingPairs,CorrectAnswer,Explanation
Water,Easy,True/False,The solute is the stuff dissolved in the solvent.,,,,,,True,Solutes include ions gases proteins etc.
Water,Medium,Fill-in-the-Blank,Water has a _______ heat capacity.,,,,,,high|High,Water requires much energy to change temperature.
Water,Medium,Multiple Choice,Heat capacity is:,Amount of heat in a substance,Energy needed to raise temp of 1g by 1°C,Maximum temperature,Freezing point,,B,Specific definition of heat capacity.
Water,Medium,True/False,Hydrogen bonding allows water to resist temperature changes.,,,,,,True,H-bonds absorb and redistribute heat.
Water,Medium,Fill-in-the-Blank,Blood redistributes heat to maintain _______ homeostasis.,,,,,,temperature|Temperature,Circulatory system regulates body temperature.
Water,Hard,Multiple Choice,When is water's high heat capacity physiologically relevant?,Only in fever,During sweating,Never important,Only in winter,,B,Sweating uses water evaporation to cool the body.
Water,Hard,True/False,When hydrogen bonds in water break the liquid becomes a gas and releases heat.,,,,,,True,Evaporation requires breaking H-bonds and releases heat.
Water,Easy,Fill-in-the-Blank,Water is neutral with a pH of _______.,,,,,,7|seven|Seven,pH 7 is neutral.
Water,Easy,Multiple Choice,Acids are molecules that:,Absorb H+ from solution,Release H+ when dissolved,Have no effect on pH,Are always toxic,,B,Acids increase H+ concentration.
Water,Easy,True/False,Bases absorb H+ from solution.,,,,,,True,Bases decrease H+ concentration.
Water,Medium,Fill-in-the-Blank,Acids _______ hydrogen ion levels in solution.,,,,,,increase|Increase,Acids add H+ ions.
Water,Medium,Multiple Choice,A solution with a high number of free hydrogen ions is best described as:,Basic,Hydrogenated,Neutral,Acidic,,D,High H+ means acidic.
Water,Medium,True/False,Water's neutral pH allows cellular processes to occur that couldn't in acidic or basic solutions.,,,,,,True,Many cellular reactions require neutral pH.
Water,Hard,Fill-in-the-Blank,Bases _______ hydrogen ion levels in solution.,,,,,,decrease|Decrease,Bases remove H+ ions.
Water,Hard,Multiple Choice,Why is pH important?,Affects protein structure,Affects enzyme activity,Affects chemical reactions,All of the above,,D,pH affects many biological processes.
Reactions,Easy,Multiple Choice,When water is the product of a reaction that joins monomers together this is called:,Hydrolysis,Substitution,Reduction,Dehydration synthesis,,D,Dehydration synthesis removes water to join molecules.
Reactions,Easy,True/False,Hydrolysis uses water to break chemical bonds.,,,,,,True,Hydrolysis means water-breaking.
Reactions,Easy,Fill-in-the-Blank,Organic molecules are put together using _______.,,,,,,dehydration synthesis|Dehydration synthesis,Water is removed to build molecules.
Reactions,Easy,Fill-in-the-Blank,Organic molecules are broken apart using _______.,,,,,,hydrolysis|Hydrolysis,Water breaks bonds.
Reactions,Medium,Multiple Choice,Dehydration synthesis:,Adds water,Removes water,Requires no water,Only breaks bonds,,B,Water is released as product.
Reactions,Medium,True/False,Water is used to attach molecules during dehydration synthesis.,,,,,,True,Water is formed when molecules join.
Reactions,Medium,Fill-in-the-Blank,Water can break the bonds holding _______ together.,,,,,,molecules|Molecules,Hydrolysis breaks molecular bonds.
Reactions,Hard,Multiple Choice,Which reaction builds polymers?,Hydrolysis,Oxidation,Dehydration synthesis,Reduction,,C,Dehydration synthesis joins monomers into polymers.
Reactions,Hard,True/False,Hydrolysis and dehydration synthesis are opposite reactions.,,,,,,True,One builds molecules one breaks them.
Carbon,Easy,Multiple Choice,Carbon can bond with how many other atoms?,2,3,4,5,,C,Carbon forms four bonds.
Carbon,Easy,True/False,Carbon is the ideal central atom for building macromolecules.,,,,,,True,Carbon's bonding versatility makes it ideal.
Carbon,Easy,Fill-in-the-Blank,Carbon can form single double and _______ bonds.,,,,,,triple|Triple,Carbon has versatile bonding options.
Carbon,Medium,Multiple Choice,If carbon has at least one double or triple bond it is:,Saturated,Unsaturated,Inorganic,Ionized,,B,Unsaturation means double/triple bonds present.
Carbon,Medium,True/False,Carbons can link together in chains.,,,,,,True,Carbon forms long chains and rings.
Carbon,Medium,Fill-in-the-Blank,Chemical properties of carbon chains are determined by the _______ of the chain and the functional groups.,,,,,,length|Length,Both length and groups matter.
Carbon,Hard,Fill-in-the-Blank,Types of bonds that carbon can form include: _______.,,,,,,single double and triple|covalent|Single double and triple|Covalent,Carbon is versatile in bonding.
Carbon,Hard,True/False,Carbon can only form straight chains.,,,,,,False,Carbon forms chains rings and branched structures.
Carbon,Easy,Multiple Choice,Shapes linked carbons can form include:,Only linear,Linear and branched,Linear branched and rings,Only rings,,C,Carbon is very versatile in shape.
Carbon,Medium,Fill-in-the-Blank,Classification of macromolecules depends on atoms within the molecule and the associated _______ groups.,,,,,,functional|Functional,Functional groups determine properties.
Carbohydrates,Easy,True/False,Carbohydrates are composed of sugar rings.,,,,,,True,Sugar rings are carbohydrate building blocks.
Carbohydrates,Easy,Fill-in-the-Blank,Carbohydrates have the general formula (CH2O)n where n is the number of times the formula is _______.,,,,,,repeated|Repeated,n indicates repetition.
Carbohydrates,Easy,Multiple Choice,Monosaccharides have how many rings?,One,Two,Three,Many,,A,Mono means one.
Carbohydrates,Easy,True/False,Carbohydrates are polar and usually water soluble.,,,,,,True,Polarity makes them dissolve in water.
Carbohydrates,Easy,Fill-in-the-Blank,Monosaccharides are also called _______ sugars.,,,,,,simple|Simple,Single ring sugars are simple.
Carbohydrates,Easy,True/False,Carbohydrates are composed of sugar rings.,,,,,,True,Sugar rings are carbohydrate building blocks.
Carbohydrates,Easy,Fill-in-the-Blank,Carbohydrates have the general formula (CH2O)n where n is the number of times the formula is _______.,,,,,,repeated|Repeated,n indicates repetition.
Carbohydrates,Easy,Multiple Choice,Monosaccharides have how many rings?,One,Two,Three,Many,,A,Mono means one.
Carbohydrates,Easy,True/False,Carbohydrates are polar and usually water soluble.,,,,,,True,Polarity makes them dissolve in water.
Carbohydrates,Easy,Fill-in-the-Blank,Monosaccharides are also called _______ sugars.,,,,,,simple|Simple,Single ring sugars are simple.
Carbohydrates,Easy,True/False,Carbohydrates are composed of sugar rings.,,,,,,True,Sugar rings are carbohydrate building blocks.
Carbohydrates,Easy,Fill-in-the-Blank,Carbohydrates have the general formula (CH2O)n where n is the number of times the formula is _______.,,,,,,repeated|Repeated,n indicates repetition.
Carbohydrates,Easy,Multiple Choice,Monosaccharides have how many rings?,One,Two,Three,Many,,A,Mono means one.
Carbohydrates,Easy,True/False,Carbohydrates are polar and usually water soluble.,,,,,,True,Polarity makes them dissolve in water.
Carbohydrates,Easy,Fill-in-the-Blank,Monosaccharides are also called _______ sugars.,,,,,,simple|Simple,Single ring sugars are simple.
Carbohydrates,Easy,True/False,Carbohydrates are composed of sugar rings.,,,,,,True,Sugar rings are carbohydrate building blocks.
Carbohydrates,Easy,Fill-in-the-Blank,Carbohydrates have the general formula (CH2O)n where n is the number of times the formula is _______.,,,,,,repeated|Repeated,n indicates repetition.
Carbohydrates,Easy,Multiple Choice,Monosaccharides have how many rings?,One,Two,Three,Many,,A,Mono means one.
Carbohydrates,Easy,True/False,Carbohydrates are polar and usually water soluble.,,,,,,True,Polarity makes them dissolve in water.
Carbohydrates,Easy,Fill-in-the-Blank,Monosaccharides are also called _______ sugars.,,,,,,simple|Simple,Single ring sugars are simple.
Carbohydrates,Easy,True/False,Carbohydrates are composed of sugar rings.,,,,,,True,Sugar rings are carbohydrate building blocks.
Carbohydrates,Easy,Fill-in-the-Blank,Carbohydrates have the general formula (CH2O)n where n is the number of times the formula is _______.,,,,,,repeated|Repeated,n indicates repetition.
Carbohydrates,Easy,Multiple Choice,Monosaccharides have how many rings?,One,Two,Three,Many,,A,Mono means one.
Carbohydrates,Easy,True/False,Carbohydrates are polar and usually water soluble.,,,,,,True,Polarity makes them dissolve in water.
Carbohydrates,Easy,Fill-in-the-Blank,Monosaccharides are also called _______ sugars.,,,,,,simple|Simple,Single ring sugars are simple.
Carbohydrates,Easy,True/False,Carbohydrates are composed of sugar rings.,,,,,,True,Sugar rings are carbohydrate building blocks.
Carbohydrates,Easy,Fill-in-the-Blank,Carbohydrates have the general formula (CH2O)n where n is the number of times the formula is _______.,,,,,,repeated|Repeated,n indicates repetition.
Carbohydrates,Easy,Multiple Choice,Monosaccharides have how many rings?,One,Two,Three,Many,,A,Mono means one.
Carbohydrates,Easy,True/False,Carbohydrates are polar and usually water soluble.,,,,,,True,Polarity makes them dissolve in water.
Carbohydrates,Easy,Fill-in-the-Blank,Monosaccharides are also called _______ sugars.,,,,,,simple|Simple,Single ring sugars are simple.
Carbohydrates,Easy,True/False,Carbohydrates are composed of sugar rings.,,,,,,True,Sugar rings are carbohydrate building blocks.
Carbohydrates,Easy,Fill-in-the-Blank,Carbohydrates have the general formula (CH2O)n where n is the number of times the formula is _______.,,,,,,repeated|Repeated,n indicates repetition.
Carbohydrates,Easy,Multiple Choice,Monosaccharides have how many rings?,One,Two,Three,Many,,A,Mono means one.
Carbohydrates,Easy,True/False,Carbohydrates are polar and usually water soluble.,,,,,,True,Polarity makes them dissolve in water.
Carbohydrates,Easy,Fill-in-the-Blank,Monosaccharides are also called _______ sugars.,,,,,,simple|Simple,Single ring sugars are simple.
Carbohydrates,Easy,True/False,Carbohydrates are composed of sugar rings.,,,,,,True,Sugar rings are carbohydrate building blocks.
Carbohydrates,Easy,Fill-in-the-Blank,Carbohydrates have the general formula (CH2O)n where n is the number of times the formula is _______.,,,,,,repeated|Repeated,n indicates repetition.
Carbohydrates,Easy,Multiple Choice,Monosaccharides have how many rings?,One,Two,Three,Many,,A,Mono means one.
Carbohydrates,Easy,True/False,Carbohydrates are polar and usually water soluble.,,,,,,True,Polarity makes them dissolve in water.
Carbohydrates,Easy,Fill-in-the-Blank,Monosaccharides are also called _______ sugars.,,,,,,simple|Simple,Single ring sugars are simple.
Carbohydrates,Easy,True/False,Carbohydrates are composed of sugar rings.,,,,,,True,Sugar rings are carbohydrate building blocks.
Carbohydrates,Easy,Fill-in-the-Blank,Carbohydrates have the general formula (CH2O)n where n is the number of times the formula is _______.,,,,,,repeated|Repeated,n indicates repetition.
Carbohydrates,Easy,Multiple Choice,Monosaccharides have how many rings?,One,Two,Three,Many,,A,Mono means one.
Carbohydrates,Easy,True/False,Carbohydrates are polar and usually water soluble.,,,,,,True,Polarity makes them dissolve in water.
Carbohydrates,Easy,Fill-in-the-Blank,Monosaccharides are also called _______ sugars.,,,,,,simple|Simple,Single ring sugars are simple.
Carbohydrates,Easy,True/False,Carbohydrates are composed of sugar rings.,,,,,,True,Sugar rings are carbohydrate building blocks.
Carbohydrates,Easy,Fill-in-the-Blank,Carbohydrates have the general formula (CH2O)n where n is the number of times the formula is _______.,,,,,,repeated|Repeated,n indicates repetition.
Carbohydrates,Easy,Multiple Choice,Monosaccharides have how many rings?,One,Two,Three,Many,,A,Mono means one.
Carbohydrates,Easy,True/False,Carbohydrates are polar and usually water soluble.,,,,,,True,Polarity makes them dissolve in water.
Carbohydrates,Easy,Fill-in-the-Blank,Monosaccharides are also called _______ sugars.,,,,,,simple|Simple,Single ring sugars are simple.
Carbohydrates,Easy,True/False,Carbohydrates are composed of sugar rings.,,,,,,True,Sugar rings are carbohydrate building blocks.
Carbohydrates,Easy,Fill-in-the-Blank,Carbohydrates have the general formula (CH2O)n where n is the number of times the formula is _______.,,,,,,repeated|Repeated,n indicates repetition.
Carbohydrates,Easy,Multiple Choice,Monosaccharides have how many rings?,One,Two,Three,Many,,A,Mono means one.
Carbohydrates,Easy,True/False,Carbohydrates are polar and usually water soluble.,,,,,,True,Polarity makes them dissolve in water.
Carbohydrates,Easy,Fill-in-the-Blank,Monosaccharides are also called _______ sugars.,,,,,,simple|Simple,Single ring sugars are simple.
Carbohydrates,Easy,True/False,Carbohydrates are composed of sugar rings.,,,,,,True,Sugar rings are carbohydrate building blocks.
Carbohydrates,Easy,Fill-in-the-Blank,Carbohydrates have the general formula (CH2O)n where n is the number of times the formula is _______.,,,,,,repeated|Repeated,n indicates repetition.
Carbohydrates,Easy,Multiple Choice,Monosaccharides have how many rings?,One,Two,Three,Many,,A,Mono means one.
Carbohydrates,Easy,True/False,Carbohydrates are polar and usually water soluble.,,,,,,True,Polarity makes them dissolve in water.
Carbohydrates,Easy,Fill-in-the-Blank,Monosaccharides are also called _______ sugars.,,,,,,simple|Simple,Single ring sugars are simple.
Carbohydrates,Easy,True/False,Carbohydrates are composed of sugar rings.,,,,,,True,Sugar rings are carbohydrate building blocks.
Carbohydrates,Easy,Fill-in-the-Blank,Carbohydrates have the general formula (CH2O)n where n is the number of times the formula is _______.,,,,,,repeated|Repeated,n indicates repetition.
Carbohydrates,Easy,Multiple Choice,Monosaccharides have how many rings?,One,Two,Three,Many,,A,Mono means one.
Carbohydrates,Easy,True/False,Carbohydrates are polar and usually water soluble.,,,,,,True,Polarity makes them dissolve in water.
Carbohydrates,Easy,Fill-in-the-Blank,Monosaccharides are also called _______ sugars.,,,,,,simple|Simple,Single ring sugars are simple.
Carbohydrates,Easy,True/False,Carbohydrates are composed of sugar rings.,,,,,,True,Sugar rings are carbohydrate building blocks.
Carbohydrates,Easy,Fill-in-the-Blank,Carbohydrates have the general formula (CH2O)n where n is the number of times the formula is _______.,,,,,,repeated|Repeated,n indicates repetition.
Carbohydrates,Easy,Multiple Choice,Monosaccharides have how many rings?,One,Two,Three,Many,,A,Mono means one.
Carbohydrates,Easy,True/False,Carbohydrates are polar and usually water soluble.,,,,,,True,Polarity makes them dissolve in water.
Carbohydrates,Easy,Fill-in-the-Blank,Monosaccharides are also called _______ sugars.,,,,,,simple|Simple,Single ring sugars are simple.
Carbohydrates,Easy,True/False,Carbohydrates are composed of sugar rings.,,,,,,True,Sugar rings are carbohydrate building blocks.
Carbohydrates,Easy,Fill-in-the-Blank,Carbohydrates have the general formula (CH2O)n where n is the number of times the formula is _______.,,,,,,repeated|Repeated,n indicates repetition.
Carbohydrates,Easy,Multiple Choice,Monosaccharides have how many rings?,One,Two,Three,Many,,A,Mono means one.
Carbohydrates,Easy,True/False,Carbohydrates are polar and usually water soluble.,,,,,,True,Polarity makes them dissolve in water.
Carbohydrates,Easy,Fill-in-the-Blank,Monosaccharides are also called _______ sugars.,,,,,,simple|Simple,Single ring sugars are simple.
Carbohydrates,Medium,Multiple Choice,A hexose sugar has how many carbons?,4,5,6,7,,C,Hexose means six carbons.
Carbohydrates,Medium,Fill-in-the-Blank,A pentose sugar has _______ carbons.,,,,,,5|five|Five,Pentose means five.
Carbohydrates,Medium,True/False,Glucose is a monosaccharide.,,,,,,True,Glucose is a simple sugar.
Carbohydrates,Medium,Fill-in-the-Blank,Disaccharides are formed from _______ monosaccharides.,,,,,,2|two|Two,Di means two.
Carbohydrates,Medium,Multiple Choice,Glucose + Fructose forms:,Lactose,Maltose,Sucrose,Glycogen,,C,Sucrose is table sugar.
Carbohydrates,Medium,True/False,Lactose is composed of glucose and galactose.,,,,,,True,Lactose is milk sugar.
Carbohydrates,Medium,Fill-in-the-Blank,Disaccharides are formed via _______ synthesis.,,,,,,dehydration|Dehydration,Water is removed to join sugars.
Carbohydrates,Medium,Multiple Choice,A hexose sugar has how many carbons?,4,5,6,7,,C,Hexose means six carbons.
Carbohydrates,Medium,Fill-in-the-Blank,A pentose sugar has _______ carbons.,,,,,,5|five|Five,Pentose means five.
Carbohydrates,Medium,True/False,Glucose is a monosaccharide.,,,,,,True,Glucose is a simple sugar.
Carbohydrates,Medium,Fill-in-the-Blank,Disaccharides are formed from _______ monosaccharides.,,,,,,2|two|Two,Di means two.
Carbohydrates,Medium,Multiple Choice,Glucose + Fructose forms:,Lactose,Maltose,Sucrose,Glycogen,,C,Sucrose is table sugar.
Carbohydrates,Medium,True/False,Lactose is composed of glucose and galactose.,,,,,,True,Lactose is milk sugar.
Carbohydrates,Medium,Fill-in-the-Blank,Disaccharides are formed via _______ synthesis.,,,,,,dehydration|Dehydration,Water is removed to join sugars.
Carbohydrates,Medium,Multiple Choice,A hexose sugar has how many carbons?,4,5,6,7,,C,Hexose means six carbons.
Carbohydrates,Medium,Fill-in-the-Blank,A pentose sugar has _______ carbons.,,,,,,5|five|Five,Pentose means five.
Carbohydrates,Medium,True/False,Glucose is a monosaccharide.,,,,,,True,Glucose is a simple sugar.
Carbohydrates,Medium,Fill-in-the-Blank,Disaccharides are formed from _______ monosaccharides.,,,,,,2|two|Two,Di means two.
Carbohydrates,Medium,Multiple Choice,Glucose + Fructose forms:,Lactose,Maltose,Sucrose,Glycogen,,C,Sucrose is table sugar.
Carbohydrates,Medium,True/False,Lactose is composed of glucose and galactose.,,,,,,True,Lactose is milk sugar.
Carbohydrates,Medium,Fill-in-the-Blank,Disaccharides are formed via _______ synthesis.,,,,,,dehydration|Dehydration,Water is removed to join sugars.
Carbohydrates,Medium,Multiple Choice,A hexose sugar has how many carbons?,4,5,6,7,,C,Hexose means six carbons.
Carbohydrates,Medium,Fill-in-the-Blank,A pentose sugar has _______ carbons.,,,,,,5|five|Five,Pentose means five.
Carbohydrates,Medium,True/False,Glucose is a monosaccharide.,,,,,,True,Glucose is a simple sugar.
Carbohydrates,Medium,Fill-in-the-Blank,Disaccharides are formed from _______ monosaccharides.,,,,,,2|two|Two,Di means two.
Carbohydrates,Medium,Multiple Choice,Glucose + Fructose forms:,Lactose,Maltose,Sucrose,Glycogen,,C,Sucrose is table sugar.
Carbohydrates,Medium,True/False,Lactose is composed of glucose and galactose.,,,,,,True,Lactose is milk sugar.
Carbohydrates,Medium,Fill-in-the-Blank,Disaccharides are formed via _______ synthesis.,,,,,,dehydration|Dehydration,Water is removed to join sugars.
Carbohydrates,Medium,Multiple Choice,A hexose sugar has how many carbons?,4,5,6,7,,C,Hexose means six carbons.
Carbohydrates,Medium,Fill-in-the-Blank,A pentose sugar has _______ carbons.,,,,,,5|five|Five,Pentose means five.
Carbohydrates,Medium,True/False,Glucose is a monosaccharide.,,,,,,True,Glucose is a simple sugar.
Carbohydrates,Medium,Fill-in-the-Blank,Disaccharides are formed from _______ monosaccharides.,,,,,,2|two|Two,Di means two.
Carbohydrates,Medium,Multiple Choice,Glucose + Fructose forms:,Lactose,Maltose,Sucrose,Glycogen,,C,Sucrose is table sugar.
Carbohydrates,Medium,True/False,Lactose is composed of glucose and galactose.,,,,,,True,Lactose is milk sugar.
Carbohydrates,Medium,Fill-in-the-Blank,Disaccharides are formed via _______ synthesis.,,,,,,dehydration|Dehydration,Water is removed to join sugars.
Carbohydrates,Medium,Multiple Choice,A hexose sugar has how many carbons?,4,5,6,7,,C,Hexose means six carbons.
Carbohydrates,Medium,Fill-in-the-Blank,A pentose sugar has _______ carbons.,,,,,,5|five|Five,Pentose means five.
Carbohydrates,Medium,True/False,Glucose is a monosaccharide.,,,,,,True,Glucose is a simple sugar.
Carbohydrates,Medium,Fill-in-the-Blank,Disaccharides are formed from _______ monosaccharides.,,,,,,2|two|Two,Di means two.
Carbohydrates,Medium,Multiple Choice,Glucose + Fructose forms:,Lactose,Maltose,Sucrose,Glycogen,,C,Sucrose is table sugar.
Carbohydrates,Medium,True/False,Lactose is composed of glucose and galactose.,,,,,,True,Lactose is milk sugar.
Carbohydrates,Medium,Fill-in-the-Blank,Disaccharides are formed via _______ synthesis.,,,,,,dehydration|Dehydration,Water is removed to join sugars.
Carbohydrates,Medium,Multiple Choice,A hexose sugar has how many carbons?,4,5,6,7,,C,Hexose means six carbons.
Carbohydrates,Medium,Fill-in-the-Blank,A pentose sugar has _______ carbons.,,,,,,5|five|Five,Pentose means five.
Carbohydrates,Medium,True/False,Glucose is a monosaccharide.,,,,,,True,Glucose is a simple sugar.
Carbohydrates,Medium,Fill-in-the-Blank,Disaccharides are formed from _______ monosaccharides.,,,,,,2|two|Two,Di means two.
Carbohydrates,Medium,Multiple Choice,Glucose + Fructose forms:,Lactose,Maltose,Sucrose,Glycogen,,C,Sucrose is table sugar.
Carbohydrates,Medium,True/False,Lactose is composed of glucose and galactose.,,,,,,True,Lactose is milk sugar.
Carbohydrates,Medium,Fill-in-the-Blank,Disaccharides are formed via _______ synthesis.,,,,,,dehydration|Dehydration,Water is removed to join sugars.
Carbohydrates,Medium,Multiple Choice,A hexose sugar has how many carbons?,4,5,6,7,,C,Hexose means six carbons.
