Topic,Difficulty,QuestionType,Question,OptionA,OptionB,OptionC,OptionD,MatchingPairs,CorrectAnswer,Explanation
Translation,Medium,Fill-in-the-Blank,Translation fill-in 14,,,,,,answer,Translation detail
Translation,Hard,Multiple Choice,Translation MC 15,A,B,C,D,,B,Translation reasoning
Translation,Easy,True/False,Translation question 16,,,,,,True,Translation explanation
Translation,Medium,Fill-in-the-Blank,Translation fill-in 17,,,,,,answer,Translation detail
Translation,Hard,Multiple Choice,Translation MC 18,A,B,C,D,,B,Translation reasoning
Translation,Easy,True/False,Translation question 19,,,,,,True,Translation explanation
Translation,Medium,Fill-in-the-Blank,Translation fill-in 20,,,,,,answer,Translation detail
Translation,Hard,Multiple Choice,Translation MC 21,A,B,C,D,,B,Translation reasoning
Translation,Easy,True/False,Translation question 22,,,,,,True,Translation explanation
Translation,Medium,Fill-in-the-Blank,Translation fill-in 23,,,,,,answer,Translation detail
Translation,Hard,Multiple Choice,Translation MC 24,A,B,C,D,,B,Translation reasoning
Translation,Easy,True/False,Translation question 25,,,,,,True,Translation explanation
Protein Synthesis,Easy,True/False,Protein Synthesis question 1,,,,,,True,Protein Synthesis explanation
Protein Synthesis,Medium,Fill-in-the-Blank,Protein Synthesis fill-in 2,,,,,,answer,Protein Synthesis detail
Protein Synthesis,Hard,Multiple Choice,Protein Synthesis MC 3,A,B,C,D,,B,Protein Synthesis reasoning
Protein Synthesis,Easy,True/False,Protein Synthesis question 4,,,,,,True,Protein Synthesis explanation
Protein Synthesis,Medium,Fill-in-the-Blank,Protein Synthesis fill-in 5,,,,,,answer,Protein Synthesis detail
Protein Synthesis,Hard,Multiple Choice,Protein Synthesis MC 6,A,B,C,D,,B,Protein Synthesis reasoning
Protein Synthesis,Easy,True/False,Protein Synthesis question 7,,,,,,True,Protein Synthesis explanation
Protein Synthesis,Medium,Fill-in-the-Blank,Protein Synthesis fill-in 8,,,,,,answer,Protein Synthesis detail
Protein Synthesis,Hard,Multiple Choice,Protein Synthesis MC 9,A,B,C,D,,B,Protein Synthesis reasoning
Protein Synthesis,Easy,True/False,Protein Synthesis question 10,,,,,,True,Protein Synthesis explanation
Protein Synthesis,Medium,Fill-in-the-Blank,Protein Synthesis fill-in 11,,,,,,answer,Protein Synthesis detail
Protein Synthesis,Hard,Multiple Choice,Protein Synthesis MC 12,A,B,C,D,,B,Protein Synthesis reasoning
Protein Synthesis,Easy,True/False,Protein Synthesis question 13,,,,,,True,Protein Synthesis explanation
Protein Synthesis,Medium,Fill-in-the-Blank,Protein Synthesis fill-in 14,,,,,,answer,Protein Synthesis detail
Protein Synthesis,Hard,Multiple Choice,Protein Synthesis MC 15,A,B,C,D,,B,Protein Synthesis reasoning
Protein Synthesis,Easy,True/False,Protein Synthesis question 16,,,,,,True,Protein Synthesis explanation
Protein Synthesis,Medium,Fill-in-the-Blank,Protein Synthesis fill-in 17,,,,,,answer,Protein Synthesis detail
Protein Synthesis,Hard,Multiple Choice,Protein Synthesis MC 18,A,B,C,D,,B,Protein Synthesis reasoning
Protein Synthesis,Easy,True/False,Protein Synthesis question 19,,,,,,True,Protein Synthesis explanation
Protein Synthesis,Medium,Fill-in-the-Blank,Protein Synthesis fill-in 20,,,,,,answer,Protein Synthesis detail
Protein Synthesis,Hard,Multiple Choice,Protein Synthesis MC 21,A,B,C,D,,B,Protein Synthesis reasoning
Protein Synthesis,Easy,True/False,Protein Synthesis question 22,,,,,,True,Protein Synthesis explanation
Protein Synthesis,Medium,Fill-in-the-Blank,Protein Synthesis fill-in 23,,,,,,answer,Protein Synthesis detail
Protein Synthesis,Hard,Multiple Choice,Protein Synthesis MC 24,A,B,C,D,,B,Protein Synthesis reasoning
Protein Synthesis,Easy,True/False,Protein Synthesis question 25,,,,,,True,Protein Synthesis explanation
Protein Synthesis,Medium,Fill-in-the-Blank,Protein Synthesis fill-in 26,,,,,,answer,Protein Synthesis detail
Protein Synthesis,Hard,Multiple Choice,Protein Synthesis MC 27,A,B,C,D,,B,Protein Synthesis reasoning
Organelle Function,Easy,True/False,Organelle Function question 1,,,,,,True,Organelle Function explanation
Organelle Function,Medium,Fill-in-the-Blank,Organelle Function fill-in 2,,,,,,answer,Organelle Function detail
Organelle Function,Hard,Multiple Choice,Organelle Function MC 3,A,B,C,D,,B,Organelle Function reasoning
Organelle Function,Easy,True/False,Organelle Function question 4,,,,,,True,Organelle Function explanation
Organelle Function,Medium,Fill-in-the-Blank,Organelle Function fill-in 5,,,,,,answer,Organelle Function detail
Organelle Function,Hard,Multiple Choice,Organelle Function MC 6,A,B,C,D,,B,Organelle Function reasoning
Organelle Function,Easy,True/False,Organelle Function question 7,,,,,,True,Organelle Function explanation
Organelle Function,Medium,Fill-in-the-Blank,Organelle Function fill-in 8,,,,,,answer,Organelle Function detail
Organelle Function,Hard,Multiple Choice,Organelle Function MC 9,A,B,C,D,,B,Organelle Function reasoning
Organelle Function,Easy,True/False,Organelle Function question 10,,,,,,True,Organelle Function explanation
Organelle Function,Medium,Fill-in-the-Blank,Organelle Function fill-in 11,,,,,,answer,Organelle Function detail
Organelle Function,Hard,Multiple Choice,Organelle Function MC 12,A,B,C,D,,B,Organelle Function reasoning
Organelle Function,Easy,True/False,Organelle Function question 13,,,,,,True,Organelle Function explanation
Organelle Function,Medium,Fill-in-the-Blank,Organelle Function fill-in 14,,,,,,answer,Organelle Function detail
Organelle Function,Hard,Multiple Choice,Organelle Function MC 15,A,B,C,D,,B,Organelle Function reasoning
Organelle Function,Easy,True/False,Organelle Function question 16,,,,,,True,Organelle Function explanation
Organelle Function,Medium,Fill-in-the-Blank,Organelle Function fill-in 17,,,,,,answer,Organelle Function detail
Organelle Function,Hard,Multiple Choice,Organelle Function MC 18,A,B,C,D,,B,Organelle Function reasoning
Organelle Function,Easy,True/False,Organelle Function question 19,,,,,,True,Organelle Function explanation
Organelle Function,Medium,Fill-in-the-Blank,Organelle Function fill-in 20,,,,,,answer,Organelle Function detail
Organelle Function,Hard,Multiple Choice,Organelle Function MC 21,A,B,C,D,,B,Organelle Function reasoning
Organelle Function,Easy,True/False,Organelle Function question 22,,,,,,True,Organelle Function explanation
Organelle Function,Medium,Fill-in-the-Blank,Organelle Function fill-in 23,,,,,,answer,Organelle Function detail
Organelle Function,Hard,Multiple Choice,Organelle Function MC 24,A,B,C,D,,B,Organelle Function reasoning
Organelle Function,Easy,True/False,Organelle Function question 25,,,,,,True,Organelle Function explanation
Cell Structure,Easy,True/False,Cell Structure question 1,,,,,,True,Cell Structure explanation
Cell Structure,Medium,Fill-in-the-Blank,Cell Structure fill-in 2,,,,,,answer,Cell Structure detail
Cell Structure,Hard,Multiple Choice,Cell Structure MC 3,A,B,C,D,,B,Cell Structure reasoning
Cell Structure,Easy,True/False,Cell Structure question 4,,,,,,True,Cell Structure explanation
Cell Structure,Medium,Fill-in-the-Blank,Cell Structure fill-in 5,,,,,,answer,Cell Structure detail
Cell Structure,Hard,Multiple Choice,Cell Structure MC 6,A,B,C,D,,B,Cell Structure reasoning
Cell Structure,Easy,True/False,Cell Structure question 7,,,,,,True,Cell Structure explanation
Cell Structure,Medium,Fill-in-the-Blank,Cell Structure fill-in 8,,,,,,answer,Cell Structure detail
Cell Structure,Hard,Multiple Choice,Cell Structure MC 9,A,B,C,D,,B,Cell Structure reasoning
Cell Structure,Easy,True/False,Cell Structure question 10,,,,,,True,Cell Structure explanation
Cell Structure,Medium,Fill-in-the-Blank,Cell Structure fill-in 11,,,,,,answer,Cell Structure detail
Cell Structure,Hard,Multiple Choice,Cell Structure MC 12,A,B,C,D,,B,Cell Structure reasoning
Cell Structure,Easy,True/False,Cell Structure question 13,,,,,,True,Cell Structure explanation
Cell Structure,Medium,Fill-in-the-Blank,Cell Structure fill-in 14,,,,,,answer,Cell Structure detail
Cell Structure,Hard,Multiple Choice,Cell Structure MC 15,A,B,C,D,,B,Cell Structure reasoning
Cell Structure,Easy,True/False,Cell Structure question 16,,,,,,True,Cell Structure explanation
Cell Structure,Medium,Fill-in-the-Blank,Cell Structure fill-in 17,,,,,,answer,Cell Structure detail
Cell Structure,Hard,Multiple Choice,Cell Structure MC 18,A,B,C,D,,B,Cell Structure reasoning
Cell Structure,Easy,True/False,Cell Structure question 19,,,,,,True,Cell Structure explanation
Cell Structure,Medium,Fill-in-the-Blank,Cell Structure fill-in 20,,,,,,answer,Cell Structure detail
Cell Structure,Hard,Multiple Choice,Cell Structure MC 21,A,B,C,D,,B,Cell Structure reasoning
Cell Structure,Easy,True/False,Cell Structure question 22,,,,,,True,Cell Structure explanation
Cell Structure,Medium,Fill-in-the-Blank,Cell Structure fill-in 23,,,,,,answer,Cell Structure detail
Cell Structure,Hard,Multiple Choice,Cell Structure MC 24,A,B,C,D,,B,Cell Structure reasoning
Cell Structure,Easy,True/False,Cell Structure question 25,,,,,,True,Cell Structure explanation
